Codigo Perfil;Paisaje;Tipo de Relieve;Forma del Terreno;Taxonomia;Uso actual;Cultivos, pastos o especies forestales;UCS;Pantanos, Cienagas;Tipo UCS;Fases;Pendiente;"Erosion
(Grado)";"Remosion en masa
(area afectada %)";Drenaje natural;"Inundaciones/Encharcamientos
(Frecuencia)";"Inundaciones/Encharcamientos
(Duracion)";Profundidad efectiva (cm);Clases tamano particulas;Fragmentos roca (% por Vol.) ;Pedregosidad en superficie (%);Afloramientos rocosos (%);Fertilidad;"Salinidad
(% area afectada)";Sales y sodio;Relacion Ca/Mg;Saturacion Al (%);Distribucion de lluvias;Piso termico;Condicion de humedad;T° Heladas
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;g;g;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;1;Templado;Muy Humedo;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;gw;g;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;4;Templado;Pluvial;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;cw;c;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Pluvial;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;d;d;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;1;Templado;Muy Humedo;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;dw;d;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Pluvial;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;e;e;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;1;Templado;Muy Humedo;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;ew;e;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Pluvial;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;f;f;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;1;Templado;Muy Humedo;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;fw;f;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;4;Templado;Pluvial;No hay
NR-26;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, esqueletica-medial, isotermica;Forestal;Bosque intervenido;MQA;NO;Consociacion;g;g;No hay;No hay;Excesivo;No hay;No hay;25 - 50;Franca-gruesa;35 - 60;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";30 - 60;1;Templado;Muy Humedo;No hay
