COD_PERFIL;UCS_F;FASES;CLIMA_AMBIENTAL;DISTRIBUCION_LLUVIAS;PORC_PENDIENTE;GRADO_EROSION;DRENAJE_NATURAL;FRECUENCIA_INUNDACION;H1_VOLUMEN_POR_CFR_1;PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA;PROFUNDIDAD_EFECTIVA;H1_CLASE_ESTRUCTURA_1;FERTILIDAD;CE_(dS_m);"PORC_SAT_SODIO
SALINIDAD_PSI ";PORC_SAI;PORC_CARBONO ORGANICO
47S235;LWM02b;b;3;Monomodal o Bimodal;3-7;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;0.61
47S235;LWM02c;c;3;Monomodal o Bimodal;7-12;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;0.61
47S235;LWM02d;d;3;Monomodal o Bimodal;12-25;N/A;Bien drenado;;N/A;N/A;75 - 100;Fina;Alta;0;0;0;0.61
47S257;LWM03a;a;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Media;0;32.12;0;99.3
47S257;LWM03ak;ak;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Media;0;>15%;0;99.3
47S257;LWM03az;az;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Media;0;32.12;0;99.3
47S257;LWM03b;b;3;Monomodal o Bimodal;3-7;N/A;Bien drenado;;N/A;N/A;100 - 150;Fina y media;Media;0;32.12;0;99.3
P-018;LWM04a;a;3;Monomodal o Bimodal;0-3;N/A;Moderadamente excesivo;;N/A;N/A;100 - 150;Fina y media;Muy baja;0;0;0;0
P-018;LWM04ai;ai;3;Monomodal o Bimodal;0-3;N/A;Moderadamente excesivo;;N/A;N/A;100 - 150;Fina y media;Muy baja;0;0;0;0
P-018;LWM04aip;aip;3;Monomodal o Bimodal;0-3;N/A;Moderadamente excesivo;;N/A;>15%;100 - 150;Fina y media;Muy baja;0;0;0;0
47S097;LWM05/LWI9304/LWM05_Aa;a;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;<0.1;100 - 150;Media y gruesa;Media;0;0;0;106
47S097;LWM05/LWI9304/LWM05_Aai;ai;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;<0.1;100 - 150;Media y gruesa;Media;0;0;0;106
47S097;LWM05/LWI9304/LWM05_Aaip;aip;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;N/A;>15%;100 - 150;Media y gruesa;Media;0;0;0;106
